Name,Owner,URL,CreatedAt,UpdatedAt,StargazerCount,ForkCount,PrimaryLanguage,Watchers,Releases
scientific-python-lectures,jrjohansson,https://github.com/jrjohansson/scientific-python-lectures,2012-11-29T11:43:34Z,2020-10-07T23:07:20Z,2918,1648,Jupyter Notebook,329,0
c9-python-getting-started,microsoft,https://github.com/microsoft/c9-python-getting-started,2019-09-17T16:30:14Z,2020-10-07T23:47:07Z,6911,1952,Jupyter Notebook,537,0
python-goose,grangier,https://github.com/grangier/python-goose,2012-01-08T20:52:44Z,2020-10-07T08:31:47Z,3599,762,HTML,197,0
python-binance,sammchardy,https://github.com/sammchardy/python-binance,2017-08-14T12:09:45Z,2020-10-07T06:41:49Z,1951,1000,Python,160,0
python_interview_question,kenwoodjw,https://github.com/kenwoodjw/python_interview_question,2019-03-02T03:57:17Z,2020-10-07T07:54:49Z,4033,1365,,156,0
DataSciencePython,ujjwalkarn,https://github.com/ujjwalkarn/DataSciencePython,2015-10-06T15:26:08Z,2020-10-07T16:04:31Z,4030,1310,Python,341,0
python-small-examples,jackzhenguo,https://github.com/jackzhenguo/python-small-examples,2019-11-17T01:47:01Z,2020-10-07T15:27:58Z,5121,1187,Python,238,0
py,codebasics,https://github.com/codebasics/py,2015-11-28T22:47:16Z,2020-10-06T15:58:43Z,1165,5368,Jupyter Notebook,159,0
pythonnet,pythonnet,https://github.com/pythonnet/pythonnet,2013-11-27T13:42:20Z,2020-10-07T11:43:09Z,2290,431,C#,137,11
Zappa,Miserlou,https://github.com/Miserlou/Zappa,2016-01-20T21:57:04Z,2020-10-07T23:19:27Z,11126,1204,Python,270,6
ml-coursera-python-assignments,dibgerge,https://github.com/dibgerge/ml-coursera-python-assignments,2018-02-17T10:11:53Z,2020-10-07T21:53:49Z,3407,1340,Jupyter Notebook,159,0
awesome-python-webapp,michaelliao,https://github.com/michaelliao/awesome-python-webapp,2014-05-16T05:55:57Z,2020-10-07T17:53:03Z,1923,1696,,225,0
